,site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
1578,elbe-river_bunthaus_v0.3,2023-03-23,2023-03-23 12:00:00,53.461787,10.064451,10.99,0.0,0.7799999999999994,8.681666666666667,11.77,25.29406046466414,0.6433515025392801,11.77,25.29406046466414,0.6433515025392801,10.99,0.0,0.7799999999999994
1579,elbe-river_bunthaus_v0.3,2023-03-24,2023-03-24 12:00:00,53.461787,10.064451,12.15,0.0,6.819999999999999,9.093333333333334,18.97,21.429960143870904,0.6550073552317933,18.97,21.429960143870904,0.6550073552317933,12.15,0.0,6.819999999999999
1580,elbe-river_bunthaus_v0.3,2023-03-25,2023-03-25 12:00:00,53.461787,10.064451,13.76,0.0,7.58,9.421666666666669,21.34,21.9403130164285,0.6322422239143968,21.34,21.9403130164285,0.6322422239143968,13.76,0.0,7.58
1581,elbe-river_bunthaus_v0.3,2023-03-26,2023-03-26 12:00:00,53.461787,10.064451,15.12,0.14,9.37,9.508333333333333,24.63,21.617089530475354,0.615755498831672,24.63,21.617089530475354,0.615755498831672,15.12,0.14,9.37
1582,elbe-river_bunthaus_v0.3,2023-03-27,2023-03-27 12:00:00,53.461787,10.064451,18.27,0.0,10.06,9.376666666666669,28.33,21.330319821133468,0.6077235440977177,28.33,21.330319821133468,0.6077235440977177,18.27,0.0,10.06
1583,elbe-river_bunthaus_v0.3,2023-03-28,2023-03-28 12:00:00,53.461787,10.064451,21.442546601977167,0.0,11.270569298617982,8.743333333333334,32.71311590059515,22.564887722368034,0.614900973356733,32.71311590059515,22.564887722368034,0.614900973356733,21.442546601977167,0.0,11.270569298617982
1584,elbe-river_bunthaus_v0.3,2023-03-29,2023-03-29 12:00:00,53.461787,10.064451,23.13,0.0,10.2,8.51,33.33,23.33041703120443,0.6031619996964042,33.33,23.33041703120443,0.6031619996964042,23.13,0.0,10.2
1585,elbe-river_bunthaus_v0.3,2023-03-30,2023-03-30 12:00:00,53.461787,10.064451,28.14,0.0,11.880000000000004,8.828333333333333,40.02,23.96714299601439,0.6005304968252477,40.02,23.96714299601439,0.6005304968252477,28.14,0.0,11.880000000000004
1586,elbe-river_bunthaus_v0.3,2023-03-31,2023-03-31 12:00:00,53.461787,10.064451,31.02,0.0,11.790000000000004,9.355,42.81,20.21240400505492,0.6083987560849787,42.81,20.21240400505492,0.6083987560849787,31.02,0.0,11.790000000000004
1587,elbe-river_bunthaus_v0.3,2023-04-01,2023-04-01 12:00:00,53.461787,10.064451,36.5,0.0,13.869999999999996,9.44,50.37,15.90113735783027,0.6062452091548858,50.37,15.90113735783027,0.6062452091548858,36.5,0.0,13.869999999999996
1588,elbe-river_bunthaus_v0.3,2023-04-02,2023-04-02 12:00:00,53.461787,10.064451,44.0,0.0,15.560000000000002,9.081666666666669,59.56,19.894041022649944,0.5532879497170587,59.56,19.894041022649944,0.5532879497170587,44.0,0.0,15.560000000000002
