site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
berlin_muggelsee_IOP_daily_v0.3,2023-09-18,2023-09-18 12:00:00,52.437300000000015,13.647400000000005,0.4656953966699315,0.3870714985308521,23.84723310479922,21.6915,24.700000000000003,4.5,0.4864350023475249,24.700000000000003,4.5,0.4864350023475249,0.4656953966699315,0.3870714985308521,23.84723310479922
berlin_muggelsee_IOP_daily_v0.3,2023-09-19,2023-09-19 12:00:00,52.437300000000015,13.647400000000005,0.551596291389038,0.4140415112084487,24.00280919907682,21.563818260867546,24.96844700167431,4.662460485145213,0.4842457069045603,24.96844700167431,4.662460485145213,0.4842457069045603,0.551596291389038,0.4140415112084487,24.00280919907682
berlin_muggelsee_IOP_daily_v0.3,2023-09-20,2023-09-20 12:00:00,52.437300000000015,13.647400000000005,0.6730537704217281,0.4629112140129039,23.01311845267703,21.37097509305806,24.149083437111663,4.772537913919947,0.4821732655161285,24.149083437111663,4.772537913919947,0.4821732655161285,0.6730537704217281,0.4629112140129039,23.01311845267703
berlin_muggelsee_IOP_daily_v0.3,2023-09-21,2023-09-21 12:00:00,52.437300000000015,13.647400000000005,0.8349195334688777,0.5324955891912306,21.175752218518568,21.12946084446141,22.54316734117868,4.837741451688876,0.4802574784224785,22.54316734117868,4.837741451688876,0.4802574784224785,0.8349195334688777,0.5324955891912306,21.175752218518568
berlin_muggelsee_IOP_daily_v0.3,2023-09-22,2023-09-22 12:00:00,52.437300000000015,13.647400000000005,1.0391143044226383,0.6203862950205717,18.829699180696224,20.855765862967424,20.48919978013944,4.865580263816671,0.478538145863859,20.48919978013944,4.865580263816671,0.478538145863859,1.0391143044226383,0.6203862950205717,18.829699180696224
berlin_muggelsee_IOP_daily_v0.3,2023-09-23,2023-09-23 12:00:00,52.437300000000015,13.647400000000005,1.280451906858065,0.7206088875536942,16.289265631746453,20.566380496465968,18.290326426158213,4.86356351566801,0.4770550680805195,18.290326426158213,4.86356351566801,0.4770550680805195,1.280451906858065,0.7206088875536942,16.289265631746453
berlin_muggelsee_IOP_daily_v0.3,2023-09-24,2023-09-24 12:00:00,52.437300000000015,13.647400000000005,1.541707092543567,0.8214698767115781,13.813709238798417,20.27779509284688,16.17688620805356,4.839200372607561,0.4758480453127086,16.17688620805356,4.839200372607561,0.4758480453127086,1.541707092543567,0.8214698767115781,13.813709238798417
berlin_muggelsee_IOP_daily_v0.3,2023-09-25,2023-09-25 12:00:00,52.437300000000015,13.647400000000005,1.7899319727891163,0.9046938775510204,11.605374149659866,20.006500000000003,14.300000000000002,4.8,0.4749568778006753,14.300000000000002,4.8,0.4749568778006753,1.7899319727891163,0.9046938775510204,11.605374149659866
berlin_muggelsee_IOP_daily_v0.3,2023-09-26,2023-09-26 12:00:00,52.437300000000015,13.647400000000005,1.9839800917771304,0.95115174734856,9.791447293951354,19.765445315760694,12.726579133077044,4.752488174622076,0.4744015207716313,12.726579133077044,4.752488174622076,0.4744015207716313,1.9839800917771304,0.95115174734856,9.791447293951354
berlin_muggelsee_IOP_daily_v0.3,2023-09-27,2023-09-27 12:00:00,52.437300000000015,13.647400000000005,2.10583803731838,0.9578190774280272,8.357074347649501,19.55342013774631,11.420731462395908,4.699257118898841,0.4741225494006389,11.420731462395908,4.699257118898841,0.4741225494006389,2.10583803731838,0.9578190774280272,8.357074347649501
